 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.2000000000E+001   0.9600000000E+002   0.2284919739E+002   0.4481037903E+002   0.2539855003E+001   0.5349847794E+002   0.6270111847E+002
   0.2000000000E+001   0.9800000000E+002   0.2274545670E+002   0.4476713562E+002   0.3360047340E+001   0.5279676437E+002   0.6270318604E+002
   0.2000000000E+001   0.1000000000E+003   0.2261317444E+002   0.4471467590E+002   0.4175778389E+001   0.5235042191E+002   0.6270596313E+002
   0.2000000000E+001   0.1020000000E+003   0.2245248985E+002   0.4465371323E+002   0.4985779285E+001   0.5202926636E+002   0.6270935822E+002
   0.2000000000E+001   0.1040000000E+003   0.2226371574E+002   0.4458394241E+002   0.5788879395E+001   0.5177714157E+002   0.6271336365E+002
   0.2000000000E+001   0.1060000000E+003   0.2204710197E+002   0.4450549698E+002   0.6583987713E+001   0.5156592560E+002   0.6271789169E+002
   0.2000000000E+001   0.1080000000E+003   0.2180299950E+002   0.4441925430E+002   0.7370001316E+001   0.5137936401E+002   0.6272287369E+002
   0.2000000000E+001   0.1100000000E+003   0.2153180885E+002   0.4432495499E+002   0.8145853996E+001   0.5120868683E+002   0.6272827530E+002
   0.2000000000E+001   0.1120000000E+003   0.2123403168E+002   0.4422324371E+002   0.8910571098E+001   0.5104776001E+002   0.6273410034E+002
   0.2000000000E+001   0.1140000000E+003   0.2091001129E+002   0.4411437607E+002   0.9663125038E+001   0.5089305115E+002   0.6274017334E+002
   0.2000000000E+001   0.1160000000E+003   0.2056026459E+002   0.4399911880E+002   0.1040255165E+002   0.5074215698E+002   0.6274644470E+002
   0.2000000000E+001   0.1180000000E+003   0.2018544388E+002   0.4387722015E+002   0.1112792492E+002   0.5059346390E+002   0.6275294876E+002
   0.2000000000E+001   0.1200000000E+003   0.1978594017E+002   0.4374982452E+002   0.1183836460E+002   0.5044575500E+002   0.6275948334E+002
   0.2000000000E+001   0.1220000000E+003   0.1936251259E+002   0.4361688614E+002   0.1253295612E+002   0.5029854584E+002   0.6276609421E+002
   0.2000000000E+001   0.1240000000E+003   0.1891567802E+002   0.4347903824E+002   0.1321095276E+002   0.5015153503E+002   0.6277267456E+002
   0.2000000000E+001   0.1260000000E+003   0.1844614220E+002   0.4333710480E+002   0.1387147141E+002   0.5000468826E+002   0.6277916718E+002
   0.2000000000E+001   0.1280000000E+003   0.1795451546E+002   0.4319121552E+002   0.1451381111E+002   0.4985764694E+002   0.6278549957E+002
   0.2000000000E+001   0.1300000000E+003   0.1744155121E+002   0.4304189301E+002   0.1513725662E+002   0.4971097565E+002   0.6279167175E+002
   0.2000000000E+001   0.1320000000E+003   0.1690794945E+002   0.4288981247E+002   0.1574107647E+002   0.4956470871E+002   0.6279759216E+002
   0.2000000000E+001   0.1340000000E+003   0.1635450745E+002   0.4273538971E+002   0.1632466698E+002   0.4941944122E+002   0.6280329895E+002
   0.2000000000E+001   0.1360000000E+003   0.1578189373E+002   0.4257872772E+002   0.1688743401E+002   0.4927489853E+002   0.6280870819E+002
   0.2000000000E+001   0.1380000000E+003   0.1519091415E+002   0.4242067719E+002   0.1742873001E+002   0.4913213348E+002   0.6281377411E+002
   0.2000000000E+001   0.1400000000E+003   0.1458230782E+002   0.4226152802E+002   0.1794811821E+002   0.4899126434E+002   0.6281852722E+002
