 Values of the electric field strength in V/m 
 (total field,incident and scattered) 
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)           radius(m)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)          Total(V/m)
 "NearField Radiation"           1
  140.0000    0.0000    1.0000    0.2421101809E+01    0.5699839401E+02    0.2741069031E+02    0.2255318403E+01    0.2751770210E+02
  140.0000   30.0000    1.0000    0.1917952919E+02    0.3547301865E+02    0.2453225327E+02    0.5529922485E+02    0.3114419746E+02
  140.0000   60.0000    1.0000    0.2886594772E+02    0.3407836914E+02    0.1011419106E+02    0.5309098816E+02    0.3059140015E+02
  140.0000   90.0000    1.0000    0.1839619064E+02    0.1498222828E+02    0.6079101562E+01    0.7923419189E+02    0.1939846992E+02
  140.0000  120.0000    1.0000    0.2655060196E+02    0.2071933937E+02    0.1334782600E+02    0.4783969498E+02    0.2972321701E+02
  140.0000  150.0000    1.0000    0.1635820007E+02    0.4838137436E+02    0.2589821625E+02    0.5310511017E+02    0.3063491249E+02
  140.0000  180.0000    1.0000    0.2216115952E+01    0.6285659027E+02    0.2923647881E+02    0.1827976608E+02    0.2932085037E+02
  160.0000    0.0000    1.0000    0.4818113327E+01    0.3926486588E+02    0.1052280140E+02    0.2224625397E+02    0.1157486057E+02
  160.0000   30.0000    1.0000    0.1557113457E+02    0.4021072388E+02    0.2659141731E+02    0.4649938583E+02    0.3081517792E+02
  160.0000   60.0000    1.0000    0.1594764805E+02    0.3502180862E+02    0.9366626740E+01    0.4943081665E+02    0.1849850273E+02
  160.0000   90.0000    1.0000    0.1347434807E+02    0.2407524490E+02    0.7721394062E+01    0.3367227936E+02    0.1553433132E+02
  160.0000  120.0000    1.0000    0.1457742977E+02    0.5081169510E+02    0.9803375244E+01    0.5850318527E+02    0.1756857300E+02
  160.0000  150.0000    1.0000    0.1338174725E+02    0.8117007256E+01    0.2339618683E+02    0.4443246841E+02    0.2695340729E+02
  160.0000  180.0000    1.0000    0.4632694244E+01    0.1606345367E+02    0.1519593334E+02    0.5893590927E+02    0.1588816738E+02
  180.0000    0.0000    1.0000    0.6195090294E+01    0.1243704891E+02    0.1330954742E+02    0.2481501961E+02    0.1468198967E+02
  180.0000   30.0000    1.0000    0.4028862000E+01    0.7853063965E+02    0.1411707783E+02    0.1718245697E+02    0.1468200493E+02
  180.0000   60.0000    1.0000    0.9252799034E+01    0.3650653839E+02    0.1139778423E+02    0.8259996414E+01    0.1468200874E+02
  180.0000   90.0000    1.0000    0.1330955696E+02    0.2481500626E+02    0.6195096493E+01    0.1243702698E+02    0.1468200016E+02
